#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1978 to Dec 2015
# Report Instantaneous Data As: End of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 648: Mount Crag, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                 
# Snow Water Equivalent       Value       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Water Equivalent       Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Depth                  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Snow Depth                  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Precipitation Accumulation  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# Precipitation Accumulation  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mount Crag (648) 
# Washington  SNOTEL Site - 3960 ft
# Reporting Frequency: Monthly; Date Range: Jan 1978 to Dec 2015
#
# As of: Jan 23, 2017 2:19:30 PM GMT-08:00
#
Date,Snow Water Equivalent (in) End of Month Values,Change In Snow Water Equivalent (in),Snow Depth (in) End of Month Values,Change In Snow Depth (in),Precipitation Accumulation (in) End of Month Values,Change In Precipitation Accumulation (in)
Aug 1993,0.0,0.0,,,58.4,1.2
Sep 1993,0.0,0.0,,,0.0,-58.4
Oct 1993,0.0,0.0,,,2.9,2.9
Nov 1993,0.7,0.7,,,5.9,3.0
Dec 1993,11.5,10.8,,,22.1,16.2
Jan 1994,11.7,0.2,,,29.8,7.7
Feb 1994,24.9,13.2,,,42.9,13.1
Mar 1994,27.0,2.1,,,47.9,5.0
Apr 1994,20.5,-6.5,,,51.7,3.8
May 1994,0.0,-20.5,,,54.7,3.0
Jun 1994,0.0,0.0,,,56.5,1.8
Jul 1994,0.0,0.0,,,56.6,0.1
Aug 1994,0.0,0.0,,,57.1,0.5
Sep 1994,0.0,0.0,,,0.0,-57.1
Oct 1994,1.3,1.3,,,5.6,5.6
Nov 1994,10.6,9.3,,,16.9,11.3
Dec 1994,16.7,6.1,,,33.5,16.6
Jan 1995,24.0,7.3,,,51.6,18.1
Feb 1995,28.9,4.9,,,60.2,8.6
Mar 1995,35.0,6.1,,,74.4,14.2
Apr 1995,37.5,2.5,,,81.5,7.1
May 1995,10.7,-26.8,,,81.5,0.0
Jun 1995,0.0,-10.7,,,84.1,2.6
Jul 1995,0.0,0.0,,,86.9,2.8
Aug 1995,0.0,0.0,,,90.0,3.1
Sep 1995,0.0,0.0,,,0.0,-90.0
Oct 1995,0.0,0.0,,,5.0,5.0
Nov 1995,0.2,0.2,,,20.4,15.4
Dec 1995,7.1,6.9,,,38.4,18.0
Jan 1996,11.0,3.9,,,45.4,7.0
Feb 1996,16.7,5.7,,,57.7,12.3
Mar 1996,16.7,0.0,,,60.3,2.6
Apr 1996,14.7,-2.0,,,70.2,9.9
May 1996,4.5,-10.2,,,76.6,6.4
Jun 1996,0.0,-4.5,,,77.9,1.3
Jul 1996,0.0,0.0,,,79.5,1.6
Aug 1996,0.0,0.0,,,79.9,0.4
Sep 1996,0.0,0.0,,,0.0,-79.9
Oct 1996,2.2,2.2,,,6.3,6.3
Nov 1996,3.3,1.1,,,11.6,5.3
Dec 1996,20.1,16.8,,,33.0,21.4
Jan 1997,22.2,2.1,,,42.5,9.5
Feb 1997,26.2,4.0,,,46.3,3.8
Mar 1997,32.8,6.6,,,60.8,14.5
Apr 1997,28.4,-4.4,,,66.5,5.7
May 1997,5.7,-22.7,,,70.0,3.5
Jun 1997,0.0,-5.7,,,75.0,5.0
Jul 1997,0.0,0.0,,,76.2,1.2
Aug 1997,0.0,0.0,,,78.5,2.3
Sep 1997,0.0,0.0,,,0.0,-78.5
Oct 1997,0.0,0.0,,,14.0,14.0
Nov 1997,3.1,3.1,,,25.9,11.9
Dec 1997,7.0,3.9,,,32.2,6.3
Jan 1998,21.6,14.6,,,53.1,20.9
Feb 1998,36.8,15.2,,,69.4,16.3
Mar 1998,39.1,2.3,,,75.8,6.4
Apr 1998,35.2,-3.9,,,79.6,3.8
May 1998,15.2,-20.0,,,82.2,2.6
Jun 1998,0.0,-15.2,,,84.3,2.1
Jul 1998,0.0,0.0,,,85.7,1.4
Aug 1998,0.0,0.0,,,85.7,0.0
Sep 1998,0.0,0.0,,,0.0,-85.7
Oct 1998,0.0,0.0,,,5.2,5.2
Nov 1998,12.6,12.6,,,25.9,20.7
Dec 1998,21.1,8.5,,,41.7,15.8
Jan 1999,37.0,15.9,,,60.1,18.4
Feb 1999,65.3,28.3,,,84.0,23.9
Mar 1999,79.0,13.7,,,100.7,16.7
Apr 1999,60.3,-18.7,,,109.4,8.7
May 1999,26.3,-34.0,,,113.0,3.6
Jun 1999,0.0,-26.3,,,116.8,3.8
Jul 1999,0.0,0.0,,,118.4,1.6
Aug 1999,0.0,0.0,,,121.5,3.1
Sep 1999,0.0,0.0,,,0.0,-121.5
Oct 1999,0.4,0.4,,,5.6,5.6
Nov 1999,2.3,1.9,,,22.8,17.2
Dec 1999,9.2,6.9,,,33.0,10.2
Jan 2000,24.1,14.9,,,46.7,13.7
Feb 2000,31.6,7.5,,,53.7,7.0
Mar 2000,35.6,4.0,,,58.1,4.4
Apr 2000,27.8,-7.8,,,59.8,1.7
May 2000,11.2,-16.6,,,63.4,3.6
Jun 2000,0.0,-11.2,,,66.4,3.0
Jul 2000,0.0,0.0,,,67.9,1.5
Aug 2000,0.0,0.0,,,68.7,0.8
Sep 2000,0.0,0.0,,,0.0,-68.7
Oct 2000,0.3,0.3,,,8.5,8.5
Nov 2000,4.0,3.7,,,12.8,4.3
Dec 2000,10.1,6.1,,,19.3,6.5
Jan 2001,13.7,3.6,,,24.5,5.2
Feb 2001,17.6,3.9,,,27.8,3.3
Mar 2001,20.1,2.5,,,31.6,3.8
Apr 2001,21.3,1.2,,,36.9,5.3
May 2001,0.0,-21.3,,,37.8,0.9
Jun 2001,0.0,0.0,,,40.8,3.0
Jul 2001,0.0,0.0,,,42.4,1.6
Aug 2001,0.0,0.0,,,46.0,3.6
Sep 2001,0.0,0.0,0,,0.0,-46.0
Oct 2001,0.8,0.8,3,3,5.3,5.3
Nov 2001,6.9,6.1,43,40,27.3,22.0
Dec 2001,17.5,10.6,55,12,41.1,13.8
Jan 2002,22.1,4.6,72,17,57.9,16.8
Feb 2002,28.1,6.0,72,0,63.6,5.7
Mar 2002,36.2,8.1,90,18,71.6,8.0
Apr 2002,31.2,-5.0,69,-21,75.2,3.6
May 2002,19.9,-11.3,45,-24,78.5,3.3
Jun 2002,0.0,-19.9,0,-45,79.7,1.2
Jul 2002,0.0,0.0,0,0,79.9,0.2
Aug 2002,0.0,0.0,0,0,80.2,0.3
Sep 2002,0.0,0.0,0,0,0.0,-80.2
Oct 2002,0.0,0.0,0,0,0.7,0.7
Nov 2002,0.0,0.0,0,0,8.7,8.0
Dec 2002,14.4,14.4,57,57,26.5,17.8
Jan 2003,17.4,3.0,42,-15,40.9,14.4
Feb 2003,18.7,1.3,47,5,42.9,2.0
Mar 2003,22.9,4.2,53,6,57.9,15.0
Apr 2003,20.9,-2.0,46,-7,63.7,5.8
May 2003,4.0,-16.9,8,-38,66.1,2.4
Jun 2003,0.0,-4.0,0,-8,68.2,2.1
Jul 2003,0.0,0.0,0,0,68.4,0.2
Aug 2003,0.0,0.0,0,0,68.5,0.1
Sep 2003,0.0,0.0,0,0,0.0,-68.5
Oct 2003,0.0,0.0,0,0,13.5,13.5
Nov 2003,4.3,4.3,14,14,23.6,10.1
Dec 2003,13.1,8.8,47,33,34.5,10.9
Jan 2004,17.5,4.4,44,-3,43.8,9.3
Feb 2004,26.9,9.4,75,31,52.6,8.8
Mar 2004,30.7,3.8,76,1,59.0,6.4
Apr 2004,22.3,-8.4,48,-28,61.8,2.8
May 2004,1.5,-20.8,0,-48,65.7,3.9
Jun 2004,0.0,-1.5,0,0,66.7,1.0
Jul 2004,0.0,0.0,0,0,67.3,0.6
Aug 2004,0.0,0.0,0,0,71.3,4.0
Sep 2004,0.0,0.0,0,0,0.0,-71.3
Oct 2004,1.3,1.3,6,6,7.4,7.4
Nov 2004,1.2,-0.1,4,-2,12.1,4.7
Dec 2004,6.1,4.9,19,15,22.6,10.5
Jan 2005,10.3,4.2,24,5,32.4,9.8
Feb 2005,10.1,-0.2,30,6,34.5,2.1
Mar 2005,13.9,3.8,38,8,41.0,6.5
Apr 2005,10.4,-3.5,26,-12,47.2,6.2
May 2005,0.0,-10.4,0,-26,54.5,7.3
Jun 2005,0.0,0.0,0,0,58.8,4.3
Jul 2005,0.0,0.0,0,0,60.3,1.5
Aug 2005,0.0,0.0,0,0,61.9,1.6
Sep 2005,0.0,0.0,0,0,0.0,-61.9
Oct 2005,0.0,0.0,1,1,5.6,5.6
Nov 2005,5.4,5.4,23,22,13.2,7.6
Dec 2005,7.5,2.1,26,3,30.8,17.6
Jan 2006,24.1,16.6,87,61,52.1,21.3
Feb 2006,27.6,3.5,78,-9,58.6,6.5
Mar 2006,35.2,7.6,112,34,72.8,14.2
Apr 2006,26.3,-8.9,88,-24,78.4,5.6
May 2006,12.4,-13.9,41,-47,81.6,3.2
Jun 2006,0.0,-12.4,0,-41,83.4,1.8
Jul 2006,0.0,0.0,0,0,84.2,0.8
Aug 2006,0.0,0.0,0,0,84.8,0.6
Sep 2006,0.0,0.0,0,0,0.0,-84.8
Oct 2006,0.0,0.0,0,0,0.9,0.9
Nov 2006,12.5,12.5,57,57,23.5,22.6
Dec 2006,23.9,11.4,78,21,41.4,17.9
Jan 2007,26.8,2.9,79,1,46.8,5.4
Feb 2007,29.3,2.5,90,11,51.7,4.9
Mar 2007,28.2,-1.1,74,-16,56.3,4.6
Apr 2007,24.7,-3.5,60,-14,59.6,3.3
May 2007,4.7,-20.0,8,-52,62.1,2.5
Jun 2007,0.0,-4.7,0,-8,64.0,1.9
Jul 2007,0.0,0.0,0,0,67.8,3.8
Aug 2007,0.0,0.0,0,0,69.0,1.2
Sep 2007,0.0,0.0,0,0,0.0,-69.0
Oct 2007,0.4,0.4,2,2,5.0,5.0
Nov 2007,1.7,1.3,7,5,9.6,4.6
Dec 2007,12.0,10.3,52,45,25.9,16.3
Jan 2008,27.4,15.4,96,44,41.8,15.9
Feb 2008,31.3,3.9,87,-9,45.3,3.5
Mar 2008,37.6,6.3,112,25,52.3,7.0
Apr 2008,42.5,4.9,105,-7,58.9,6.6
May 2008,25.3,-17.2,45,-60,60.4,1.5
Jun 2008,2.1,-23.2,2,-43,62.1,1.7
Jul 2008,0.0,-2.1,0,-2,63.2,1.1
Aug 2008,0.0,0.0,0,0,66.2,3.0
Sep 2008,0.0,0.0,0,0,0.0,-66.2
Oct 2008,0.0,0.0,0,0,9.7,9.7
Nov 2008,0.0,0.0,0,0,19.8,10.1
Dec 2008,6.0,6.0,33,33,26.7,6.9
Jan 2009,8.2,2.2,28,-5,32.8,6.1
Feb 2009,11.2,3.0,38,10,36.8,4.0
Mar 2009,17.2,6.0,56,18,45.4,8.6
Apr 2009,15.8,-1.4,39,-17,48.9,3.5
May 2009,0.0,-15.8,0,-39,54.8,5.9
Jun 2009,0.0,0.0,0,0,56.2,1.4
Jul 2009,0.0,0.0,0,0,56.2,0.0
Aug 2009,0.0,0.0,0,0,57.5,1.3
Sep 2009,0.0,0.0,0,0,0.0,-57.5
Oct 2009,0.0,0.0,0,0,10.3,10.3
Nov 2009,12.1,12.1,38,38,32.5,22.2
Dec 2009,13.5,1.4,48,10,37.7,5.2
Jan 2010,22.4,8.9,63,15,57.6,19.9
Feb 2010,26.4,4.0,72,9,67.1,9.5
Mar 2010,32.6,6.2,92,20,75.0,7.9
Apr 2010,36.8,4.2,88,-4,88.2,13.2
May 2010,26.1,-10.7,60,-28,94.9,6.7
Jun 2010,2.6,-23.5,5,-55,98.9,4.0
Jul 2010,0.0,-2.6,0,-5,99.2,0.3
Aug 2010,0.0,0.0,0,0,100.3,1.1
Sep 2010,0.0,0.0,0,0,0.0,-100.3
Oct 2010,0.2,0.2,1,1,9.0,9.0
Nov 2010,6.9,6.7,32,31,20.2,11.2
Dec 2010,21.1,14.2,78,46,46.1,25.9
Jan 2011,26.0,4.9,65,-13,52.0,5.9
Feb 2011,34.1,8.1,110,45,59.7,7.7
Mar 2011,47.6,13.5,136,26,81.7,22.0
Apr 2011,48.7,1.1,139,3,88.2,6.5
May 2011,35.4,-13.3,101,-38,93.7,5.5
Jun 2011,29.7,-5.7,60,-41,96.3,2.6
Jul 2011,0.0,-29.7,0,-60,97.7,1.4
Aug 2011,0.0,0.0,0,0,98.1,0.4
Sep 2011,0.0,0.0,0,0,0.0,-98.1
Oct 2011,0.0,0.0,0,0,7.5,7.5
Nov 2011,8.3,8.3,21,21,18.6,11.1
Dec 2011,11.5,3.2,32,11,22.2,3.6
Jan 2012,21.0,9.5,61,29,33.8,11.6
Feb 2012,28.2,7.2,90,29,41.7,7.9
Mar 2012,45.3,17.1,145,55,61.9,20.2
Apr 2012,39.6,-5.7,94,-51,66.2,4.3
May 2012,26.2,-13.4,61,-33,69.9,3.7
Jun 2012,4.7,-21.5,11,-50,75.1,5.2
Jul 2012,0.0,-4.7,0,-11,76.5,1.4
Aug 2012,0.0,0.0,0,0,77.0,0.5
Sep 2012,0.0,0.0,0,0,0.0,-77.0
Oct 2012,0.0,0.0,0,0,8.9,8.9
Nov 2012,7.5,7.5,24,24,27.4,18.5
Dec 2012,26.8,19.3,95,71,47.0,19.6
Jan 2013,29.6,2.8,87,-8,,
Feb 2013,33.5,3.9,98,11,,
Mar 2013,35.2,1.7,89,-9,,
Apr 2013,30.6,-4.6,67,-22,,
May 2013,10.3,-20.3,24,-43,,
Jun 2013,0.0,-10.3,0,-24,,
Jul 2013,0.0,0.0,0,0,,
Aug 2013,0.0,0.0,0,0,74.5,
Sep 2013,0.0,0.0,0,0,0.0,-74.5
Oct 2013,0.2,0.2,0,0,0.8,0.8
Nov 2013,0.8,0.6,2,2,5.0,4.2
Dec 2013,1.8,1.0,3,1,5.9,0.9
Jan 2014,4.1,2.3,10,7,11.2,5.3
Feb 2014,15.3,11.2,53,43,22.5,11.3
Mar 2014,19.4,4.1,49,-4,33.0,10.5
Apr 2014,16.2,-3.2,37,-12,36.7,3.7
May 2014,0.0,-16.2,0,-37,39.7,3.0
Jun 2014,0.0,0.0,0,0,42.2,2.5
Jul 2014,0.0,0.0,0,0,43.4,1.2
Aug 2014,0.0,0.0,0,0,45.7,2.3
Sep 2014,0.0,0.0,0,0,0.0,-45.7
Oct 2014,0.0,0.0,0,0,17.2,17.2
Nov 2014,0.4,0.4,2,2,23.2,6.0
Dec 2014,2.0,1.6,10,8,41.1,17.9
Jan 2015,1.2,-0.8,3,-7,45.5,4.4
Feb 2015,0.7,-0.5,3,0,55.0,9.5
Mar 2015,0.0,-0.7,0,-3,60.2,5.2
Apr 2015,0.0,0.0,0,0,64.4,4.2
May 2015,0.0,0.0,0,0,65.3,0.9
Jun 2015,0.0,0.0,0,0,66.5,1.2
Jul 2015,0.0,0.0,0,0,68.1,1.6
Aug 2015,0.0,0.0,0,0,72.4,4.3
Sep 2015,0.0,0.0,0,0,0.0,-72.4
Oct 2015,0.0,0.0,0,0,4.9,4.9
Nov 2015,3.0,3.0,13,13,16.2,11.3
Dec 2015,15.6,12.6,58,45,41.0,24.8
