#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1978 to Jan 2015
# Report Instantaneous Data As: End of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 863: White Pass E.S., WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                 
# Snow Water Equivalent       Value       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Water Equivalent       Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Depth                  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Snow Depth                  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Precipitation Accumulation  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# Precipitation Accumulation  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# White Pass E.s. (863) 
# Washington  SNOTEL Site - 4440 ft
# Reporting Frequency: Monthly; Date Range: Jan 1978 to Jan 2015
#
# As of: Jan 20, 2017 6:44:56 PM GMT-08:00
#
Date,Snow Water Equivalent (in) End of Month Values,Change In Snow Water Equivalent (in),Snow Depth (in) End of Month Values,Change In Snow Depth (in),Precipitation Accumulation (in) End of Month Values,Change In Precipitation Accumulation (in)
Jul 1990,0.0,0.0,,,42.4,0.0
Aug 1990,0.0,0.0,,,44.2,1.8
Sep 1990,0.0,0.0,,,0.0,-44.2
Oct 1990,0.0,0.0,,,6.1,6.1
Nov 1990,2.9,2.9,,,15.9,9.8
Dec 1990,9.1,6.2,,,21.2,5.3
Jan 1991,12.9,3.8,,,26.5,5.3
Feb 1991,12.9,0.0,,,30.3,3.8
Mar 1991,17.9,5.0,,,35.3,5.0
Apr 1991,18.6,0.7,,,39.2,3.9
May 1991,1.0,-17.6,,,40.6,1.4
Jun 1991,0.0,-1.0,,,42.4,1.8
Jul 1991,0.0,0.0,,,42.6,0.2
Aug 1991,0.0,0.0,,,43.0,0.4
Sep 1991,0.0,0.0,,,0.0,-43.0
Oct 1991,1.2,1.2,,,2.1,2.1
Nov 1991,4.0,2.8,,,10.5,8.4
Dec 1991,8.5,4.5,,,16.3,5.8
Jan 1992,11.8,3.3,,,21.8,5.5
Feb 1992,14.4,2.6,,,25.0,3.2
Mar 1992,11.7,-2.7,,,26.3,1.3
Apr 1992,4.5,-7.2,,,29.4,3.1
May 1992,0.0,-4.5,,,29.7,0.3
Jun 1992,0.0,0.0,,,30.2,0.5
Jul 1992,0.0,0.0,,,30.8,0.6
Aug 1992,0.0,0.0,,,30.8,0.0
Sep 1992,0.0,0.0,,,0.0,-30.8
Oct 1992,0.0,0.0,,,2.1,2.1
Nov 1992,4.1,4.1,,,7.8,5.7
Dec 1992,12.0,7.9,,,15.7,7.9
Jan 1993,16.7,4.7,,,20.3,4.6
Feb 1993,17.5,0.8,,,21.4,1.1
Mar 1993,17.9,0.4,,,25.9,4.5
Apr 1993,14.5,-3.4,,,29.7,3.8
May 1993,0.0,-14.5,,,31.2,1.5
Jun 1993,0.0,0.0,,,32.6,1.4
Jul 1993,0.0,0.0,,,33.1,0.5
Aug 1993,0.0,0.0,,,33.6,0.5
Sep 1993,0.0,0.0,,,0.0,-33.6
Oct 1993,0.0,0.0,,,0.6,0.6
Nov 1993,2.6,2.6,,,3.7,3.1
Dec 1993,7.5,4.9,,,9.0,5.3
Jan 1994,11.4,3.9,,,13.8,4.8
Feb 1994,18.5,7.1,,,20.0,6.2
Mar 1994,20.7,2.2,,,23.7,3.7
Apr 1994,14.0,-6.7,,,25.0,1.3
May 1994,0.0,-14.0,,,26.5,1.5
Jun 1994,0.0,0.0,,,27.9,1.4
Jul 1994,0.0,0.0,,,29.1,1.2
Aug 1994,0.0,0.0,,,29.1,0.0
Sep 1994,0.0,0.0,,,0.0,-29.1
Oct 1994,3.7,3.7,,,11.8,11.8
Nov 1994,10.8,7.1,,,21.2,9.4
Dec 1994,15.5,4.7,,,27.2,6.0
Jan 1995,20.7,5.2,,,34.4,7.2
Feb 1995,22.7,2.0,,,40.1,5.7
Mar 1995,24.5,1.8,,,44.1,4.0
Apr 1995,23.8,-0.7,,,46.5,2.4
May 1995,1.2,-22.6,,,49.2,2.7
Jun 1995,0.0,-1.2,,,50.3,1.1
Jul 1995,0.0,0.0,,,51.1,0.8
Aug 1995,0.0,0.0,,,51.2,0.1
Sep 1995,0.0,0.0,,,0.0,-51.2
Oct 1995,0.0,0.0,,,4.8,4.8
Nov 1995,0.1,0.1,,,19.6,14.8
Dec 1995,5.9,5.8,,,28.9,9.3
Jan 1996,11.9,6.0,,,38.0,9.1
Feb 1996,15.6,3.7,,,51.0,13.0
Mar 1996,17.5,1.9,,,54.1,3.1
Apr 1996,15.0,-2.5,,,58.3,4.2
May 1996,1.3,-13.7,,,62.5,4.2
Jun 1996,0.0,-1.3,,,64.1,1.6
Jul 1996,0.0,0.0,,,64.8,0.7
Aug 1996,0.0,0.0,,,65.0,0.2
Sep 1996,0.0,0.0,,,0.0,-65.0
Oct 1996,0.0,0.0,,,4.6,4.6
Nov 1996,8.8,8.8,,,14.3,9.7
Dec 1996,30.4,21.6,,,39.0,24.7
Jan 1997,41.3,10.9,,,51.2,12.2
Feb 1997,45.9,4.6,,,56.1,4.9
Mar 1997,40.3,-5.6,,,66.3,10.2
Apr 1997,40.2,-0.1,,,69.4,3.1
May 1997,14.0,-26.2,,,70.4,1.0
Jun 1997,0.0,-14.0,,,71.9,1.5
Jul 1997,0.0,0.0,,,72.5,0.6
Aug 1997,0.0,0.0,,,73.0,0.5
Sep 1997,0.0,0.0,,,0.0,-73.0
Oct 1997,0.0,0.0,,,7.9,7.9
Nov 1997,3.6,3.6,,,12.1,4.2
Dec 1997,5.8,2.2,,,16.1,4.0
Jan 1998,14.6,8.8,,,25.0,8.9
Feb 1998,20.0,5.4,,,30.0,5.0
Mar 1998,21.5,1.5,,,33.1,3.1
Apr 1998,18.2,-3.3,,,34.3,1.2
May 1998,2.5,-15.7,,,36.3,2.0
Jun 1998,0.0,-2.5,,,38.4,2.1
Jul 1998,0.0,0.0,,,39.0,0.6
Aug 1998,0.0,0.0,,,39.5,0.5
Sep 1998,0.0,0.0,,,0.0,-39.5
Oct 1998,0.0,0.0,,,1.5,1.5
Nov 1998,3.3,3.3,,,11.2,9.7
Dec 1998,11.3,8.0,,,24.1,12.9
Jan 1999,18.1,6.8,,,31.9,7.8
Feb 1999,29.7,11.6,,,42.1,10.2
Mar 1999,35.1,5.4,,,47.7,5.6
Apr 1999,33.0,-2.1,,,48.2,0.5
May 1999,20.6,-12.4,,,49.9,1.7
Jun 1999,0.0,-20.6,,,50.3,0.4
Jul 1999,0.0,0.0,,,51.2,0.9
Aug 1999,0.0,0.0,,,52.2,1.0
Sep 1999,0.0,0.0,,,0.0,-52.2
Oct 1999,0.0,0.0,,,3.0,3.0
Nov 1999,0.7,0.7,,,12.8,9.8
Dec 1999,5.4,4.7,,,20.2,7.4
Jan 2000,15.2,9.8,,,29.1,8.9
Feb 2000,20.9,5.7,,,34.9,5.8
Mar 2000,25.1,4.2,,,38.1,3.2
Apr 2000,18.4,-6.7,,,39.3,1.2
May 2000,2.5,-15.9,,,40.8,1.5
Jun 2000,0.0,-2.5,,,42.1,1.3
Jul 2000,0.0,0.0,,,42.2,0.1
Aug 2000,0.0,0.0,,,42.8,0.6
Sep 2000,0.0,0.0,,,0.0,-42.8
Oct 2000,0.0,0.0,,,1.8,1.8
Nov 2000,1.9,1.9,,,3.9,2.1
Dec 2000,5.9,4.0,,,7.9,4.0
Jan 2001,8.2,2.3,,,10.3,2.4
Feb 2001,10.5,2.3,,,13.0,2.7
Mar 2001,11.9,1.4,,,14.8,1.8
Apr 2001,11.1,-0.8,,,17.0,2.2
May 2001,0.0,-11.1,,,18.3,1.3
Jun 2001,0.0,0.0,,,20.0,1.7
Jul 2001,0.0,0.0,,,20.5,0.5
Aug 2001,0.0,0.0,,,21.1,0.6
Sep 2001,0.0,0.0,,,0.0,-21.1
Oct 2001,0.3,0.3,,,3.8,3.8
Nov 2001,2.9,2.6,,,11.0,7.2
Dec 2001,11.2,8.3,,,19.4,8.4
Jan 2002,18.3,7.1,,,29.4,10.0
Feb 2002,21.4,3.1,,,32.9,3.5
Mar 2002,28.0,6.6,,,38.4,5.5
Apr 2002,22.7,-5.3,,,41.4,3.0
May 2002,8.2,-14.5,,,43.1,1.7
Jun 2002,0.0,-8.2,,,45.0,1.9
Jul 2002,0.0,0.0,,,45.4,0.4
Aug 2002,0.0,0.0,0,,45.5,0.1
Sep 2002,0.0,0.0,0,0,0.0,-45.5
Oct 2002,0.0,0.0,0,0,0.2,0.2
Nov 2002,0.0,0.0,0,0,2.4,2.2
Dec 2002,8.0,8.0,38,38,12.4,10.0
Jan 2003,12.0,4.0,39,1,23.9,11.5
Feb 2003,12.8,0.8,45,6,26.3,2.4
Mar 2003,17.6,4.8,48,3,33.3,7.0
Apr 2003,15.2,-2.4,38,-10,36.0,2.7
May 2003,0.0,-15.2,0,-38,37.4,1.4
Jun 2003,0.0,0.0,0,0,37.6,0.2
Jul 2003,0.0,0.0,0,0,37.7,0.1
Aug 2003,0.0,0.0,0,0,37.7,0.0
Sep 2003,0.0,0.0,0,0,0.0,-37.7
Oct 2003,0.0,0.0,0,0,3.6,3.6
Nov 2003,3.6,3.6,15,15,10.9,7.3
Dec 2003,9.5,5.9,43,28,17.6,6.7
Jan 2004,16.9,7.4,61,18,26.4,8.8
Feb 2004,19.5,2.6,64,3,29.3,2.9
Mar 2004,21.8,2.3,58,-6,33.0,3.7
Apr 2004,13.0,-8.8,33,-25,33.6,0.6
May 2004,0.0,-13.0,0,-33,35.1,1.5
Jun 2004,0.0,0.0,0,0,36.4,1.3
Jul 2004,0.0,0.0,0,0,36.4,0.0
Aug 2004,0.0,0.0,0,0,38.9,2.5
Sep 2004,0.0,0.0,0,0,0.0,-38.9
Oct 2004,0.2,0.2,2,2,3.0,3.0
Nov 2004,0.5,0.3,2,0,4.8,1.8
Dec 2004,2.6,2.1,11,9,9.0,4.2
Jan 2005,2.4,-0.2,6,-5,13.7,4.7
Feb 2005,2.8,0.4,7,1,14.6,0.9
Mar 2005,4.1,1.3,17,10,19.5,4.9
Apr 2005,0.0,-4.1,1,-16,22.5,3.0
May 2005,0.0,0.0,0,-1,25.7,3.2
Jun 2005,0.0,0.0,0,0,26.6,0.9
Jul 2005,0.0,0.0,0,0,27.4,0.8
Aug 2005,0.0,0.0,,,27.5,0.1
Sep 2005,0.0,0.0,0,,0.0,-27.5
Oct 2005,0.0,0.0,0,0,2.8,2.8
Nov 2005,4.4,4.4,20,20,8.3,5.5
Dec 2005,9.6,5.2,39,19,17.0,8.7
Jan 2006,20.5,10.9,69,30,31.7,14.7
Feb 2006,24.2,3.7,71,2,36.2,4.5
Mar 2006,27.3,3.1,140,69,39.2,3.0
Apr 2006,22.7,-4.6,,,40.9,1.7
May 2006,4.3,-18.4,8,,42.5,1.6
Jun 2006,0.0,-4.3,0,-8,44.5,2.0
Jul 2006,0.0,0.0,0,0,44.6,0.1
Aug 2006,0.0,0.0,0,0,44.8,0.2
Sep 2006,0.0,0.0,0,0,0.0,-44.8
Oct 2006,0.6,0.6,0,0,0.9,0.9
Nov 2006,6.1,5.5,,,20.5,19.6
Dec 2006,12.0,5.9,46,,29.0,8.5
Jan 2007,16.5,4.5,53,7,35.0,6.0
Feb 2007,22.3,5.8,79,26,41.2,6.2
Mar 2007,20.9,-1.4,49,-30,46.1,4.9
Apr 2007,16.5,-4.4,32,-17,47.5,1.4
May 2007,0.0,-16.5,0,-32,47.8,0.3
Jun 2007,0.0,0.0,0,0,49.1,1.3
Jul 2007,0.0,0.0,0,0,49.3,0.2
Aug 2007,0.0,0.0,0,0,49.7,0.4
Sep 2007,0.0,0.0,0,0,0.0,-49.7
Oct 2007,0.0,0.0,0,0,3.8,3.8
Nov 2007,2.5,2.5,15,15,9.4,5.6
Dec 2007,10.0,7.5,45,30,20.9,11.5
Jan 2008,18.3,8.3,80,35,30.4,9.5
Feb 2008,25.7,7.4,72,-8,36.7,6.3
Mar 2008,29.5,3.8,83,11,40.8,4.1
Apr 2008,29.7,0.2,72,-11,42.7,1.9
May 2008,13.5,-16.2,27,-45,43.8,1.1
Jun 2008,0.0,-13.5,0,-27,45.2,1.4
Jul 2008,0.0,0.0,0,0,45.3,0.1
Aug 2008,0.0,0.0,0,0,46.4,1.1
Sep 2008,0.0,0.0,0,0,0.0,-46.4
Oct 2008,0.0,0.0,0,0,2.2,2.2
Nov 2008,0.0,0.0,0,0,10.3,8.1
Dec 2008,10.4,10.4,48,48,20.2,9.9
Jan 2009,13.9,3.5,44,-4,28.3,8.1
Feb 2009,17.0,3.1,55,11,30.4,2.1
Mar 2009,24.7,7.7,77,22,36.9,6.5
Apr 2009,23.3,-1.4,57,-20,39.2,2.3
May 2009,8.7,-14.6,17,-40,42.4,3.2
Jun 2009,0.0,-8.7,0,-17,43.2,0.8
Jul 2009,0.0,0.0,0,0,43.2,0.0
Aug 2009,0.0,0.0,0,0,43.4,0.2
Sep 2009,0.0,0.0,0,0,0.0,-43.4
Oct 2009,0.0,0.0,0,0,4.6,4.6
Nov 2009,4.7,4.7,15,15,11.0,6.4
Dec 2009,7.9,3.2,29,14,15.7,4.7
Jan 2010,11.6,3.7,40,11,21.6,5.9
Feb 2010,13.5,1.9,48,8,24.7,3.1
Mar 2010,16.5,3.0,52,4,27.8,3.1
Apr 2010,17.0,0.5,43,-9,32.0,4.2
May 2010,7.6,-9.4,17,-26,35.6,3.6
Jun 2010,0.0,-7.6,0,-17,37.9,2.3
Jul 2010,0.0,0.0,0,0,37.9,0.0
Aug 2010,0.0,0.0,0,0,38.6,0.7
Sep 2010,0.0,0.0,0,0,0.0,-38.6
Oct 2010,0.9,0.9,3,3,3.7,3.7
Nov 2010,5.1,4.2,26,23,11.3,7.6
Dec 2010,11.2,6.1,44,18,21.1,9.8
Jan 2011,12.6,1.4,35,-9,30.7,9.6
Feb 2011,17.2,4.6,69,34,36.5,5.8
Mar 2011,22.5,5.3,75,6,46.9,10.4
Apr 2011,23.4,0.9,78,3,52.0,5.1
May 2011,13.8,-9.6,46,-32,54.4,2.4
Jun 2011,0.0,-13.8,0,-46,54.8,0.4
Jul 2011,0.0,0.0,0,0,55.0,0.2
Aug 2011,0.0,0.0,0,0,55.1,0.1
Sep 2011,0.0,0.0,0,0,0.0,-55.1
Oct 2011,0.2,0.2,1,1,3.0,3.0
Nov 2011,6.2,6.0,18,17,10.3,7.3
Dec 2011,9.2,3.0,23,5,15.7,5.4
Jan 2012,19.1,9.9,54,31,26.7,11.0
Feb 2012,26.0,6.9,72,18,35.0,8.3
Mar 2012,34.4,8.4,93,21,43.0,8.0
Apr 2012,28.4,-6.0,61,-32,46.3,3.3
May 2012,12.1,-16.3,25,-36,48.8,2.5
Jun 2012,0.0,-12.1,0,-25,50.4,1.6
Jul 2012,0.0,0.0,0,0,50.8,0.4
Aug 2012,0.0,0.0,0,0,50.9,0.1
Sep 2012,0.0,0.0,0,0,0.0,-50.9
Oct 2012,0.0,0.0,0,0,8.6,8.6
Nov 2012,3.1,3.1,10,10,16.4,7.8
Dec 2012,12.2,9.1,47,37,25.7,9.3
Jan 2013,15.5,3.3,49,2,29.9,4.2
Feb 2013,19.3,3.8,64,15,33.7,3.8
Mar 2013,21.3,2.0,52,-12,36.7,3.0
Apr 2013,18.5,-2.8,43,-9,40.7,4.0
May 2013,0.0,-18.5,0,-43,43.0,2.3
Jun 2013,0.0,0.0,0,0,43.5,0.5
Jul 2013,0.0,0.0,0,0,43.5,0.0
Aug 2013,0.0,0.0,0,0,44.3,0.8
Sep 2013,0.0,0.0,0,0,0.0,-44.3
Oct 2013,0.0,0.0,0,0,0.9,0.9
Nov 2013,1.3,1.3,2,2,5.6,4.7
Dec 2013,2.9,1.6,8,6,10.3,4.7
Jan 2014,8.7,5.8,24,16,16.8,6.5
Feb 2014,19.6,10.9,63,39,27.4,10.6
Mar 2014,23.4,3.8,59,-4,35.9,8.5
Apr 2014,20.4,-3.0,48,-11,39.5,3.6
May 2014,0.0,-20.4,0,-48,40.9,1.4
Jun 2014,0.0,0.0,0,0,41.5,0.6
Jul 2014,0.0,0.0,0,0,42.1,0.6
Aug 2014,0.0,0.0,0,0,43.7,1.6
Sep 2014,0.0,0.0,0,0,0.0,-43.7
Oct 2014,0.0,0.0,0,0,7.4,7.4
Nov 2014,0.9,0.9,3,3,14.9,7.5
Dec 2014,4.7,3.8,18,15,23.3,8.4
Jan 2015,6.2,1.5,16,-2,29.5,6.2
