#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1978 to Jan 2015
# Report Instantaneous Data As: End of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 791: Stevens Pass, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                 
# Snow Water Equivalent       Value       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Water Equivalent       Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Depth                  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Snow Depth                  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Precipitation Accumulation  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# Precipitation Accumulation  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Stevens Pass (791) 
# Washington  SNOTEL Site - 3950 ft
# Reporting Frequency: Monthly; Date Range: Jan 1978 to Jan 2015
#
# As of: Jan 20, 2017 6:43:46 PM GMT-08:00
#
Date,Snow Water Equivalent (in) End of Month Values,Change In Snow Water Equivalent (in),Snow Depth (in) End of Month Values,Change In Snow Depth (in),Precipitation Accumulation (in) End of Month Values,Change In Precipitation Accumulation (in)
Jul 1985,0.0,0.0,,,76.6,0.0
Aug 1985,0.0,0.0,,,77.2,0.6
Sep 1985,0.0,0.0,,,0.0,-77.2
Oct 1985,4.3,4.3,,,18.1,18.1
Nov 1985,11.8,7.5,,,31.8,13.7
Dec 1985,14.0,2.2,,,34.0,2.2
Jan 1986,25.6,11.6,,,46.7,12.7
Feb 1986,33.7,8.1,,,59.4,12.7
Mar 1986,33.3,-0.4,,,65.6,6.2
Apr 1986,28.2,-5.1,,,69.0,3.4
May 1986,0.0,-28.2,,,73.1,4.1
Jun 1986,0.0,0.0,,,76.0,2.9
Jul 1986,0.0,0.0,,,77.9,1.9
Aug 1986,0.0,0.0,,,78.5,0.6
Sep 1986,0.0,0.0,,,0.0,-78.5
Oct 1986,0.0,0.0,,,4.4,4.4
Nov 1986,10.9,10.9,,,27.0,22.6
Dec 1986,20.0,9.1,,,33.8,6.8
Jan 1987,33.4,13.4,,,44.5,10.7
Feb 1987,40.4,7.0,,,50.2,5.7
Mar 1987,43.3,2.9,,,59.2,9.0
Apr 1987,25.9,-17.4,,,64.9,5.7
May 1987,0.0,-25.9,,,70.5,5.6
Jun 1987,0.0,0.0,,,71.6,1.1
Jul 1987,0.0,0.0,,,73.0,1.4
Aug 1987,0.0,0.0,,,73.2,0.2
Sep 1987,0.0,0.0,,,0.0,-73.2
Oct 1987,0.0,0.0,,,0.1,0.1
Nov 1987,2.5,2.5,,,6.7,6.6
Dec 1987,17.1,14.6,,,22.0,15.3
Jan 1988,30.0,12.9,,,32.7,10.7
Feb 1988,37.2,7.2,,,40.9,8.2
Mar 1988,49.8,12.6,,,56.1,15.2
Apr 1988,39.8,-10.0,,,64.9,8.8
May 1988,3.1,-36.7,,,69.0,4.1
Jun 1988,0.0,-3.1,,,71.1,2.1
Jul 1988,0.0,0.0,,,72.9,1.8
Aug 1988,0.0,0.0,,,73.2,0.3
Sep 1988,0.0,0.0,,,0.0,-73.2
Oct 1988,0.0,0.0,,,10.1,10.1
Nov 1988,11.7,11.7,,,29.2,19.1
Dec 1988,17.3,5.6,,,38.7,9.5
Jan 1989,36.0,18.7,,,55.3,16.6
Feb 1989,40.6,4.6,,,59.7,4.4
Mar 1989,50.9,10.3,,,68.3,8.6
Apr 1989,34.1,-16.8,,,75.3,7.0
May 1989,1.9,-32.2,,,80.1,4.8
Jun 1989,0.0,-1.9,,,82.1,2.0
Jul 1989,0.0,0.0,,,82.9,0.8
Aug 1989,0.0,0.0,,,84.7,1.8
Sep 1989,0.0,0.0,,,0.0,-84.7
Oct 1989,0.0,0.0,,,6.4,6.4
Nov 1989,3.7,3.7,,,27.0,20.6
Dec 1989,6.9,3.2,,,37.0,10.0
Jan 1990,35.0,28.1,,,63.7,26.7
Feb 1990,53.3,18.3,,,81.2,17.5
Mar 1990,54.8,1.5,,,86.0,4.8
Apr 1990,37.2,-17.6,,,91.4,5.4
May 1990,6.1,-31.1,,,95.7,4.3
Jun 1990,0.0,-6.1,,,101.6,5.9
Jul 1990,0.0,0.0,,,102.8,1.2
Aug 1990,0.0,0.0,,,105.5,2.7
Sep 1990,0.0,0.0,,,0.0,-105.5
Oct 1990,1.7,1.7,,,18.5,18.5
Nov 1990,6.0,4.3,,,56.6,38.1
Dec 1990,20.9,14.9,,,73.6,17.0
Jan 1991,31.2,10.3,,,87.4,13.8
Feb 1991,36.1,4.9,,,100.6,13.2
Mar 1991,43.3,7.2,,,107.6,7.0
Apr 1991,43.2,-0.1,,,116.4,8.8
May 1991,14.4,-28.8,,,119.8,3.4
Jun 1991,0.0,-14.4,,,122.7,2.9
Jul 1991,0.0,0.0,,,124.5,1.8
Aug 1991,0.0,0.0,,,125.8,1.3
Sep 1991,0.0,0.0,,,0.0,-125.8
Oct 1991,1.8,1.8,,,6.9,6.9
Nov 1991,10.1,8.3,,,24.5,17.6
Dec 1991,20.5,10.4,,,39.3,14.8
Jan 1992,28.4,7.9,,,55.5,16.2
Feb 1992,32.7,4.3,,,61.2,5.7
Mar 1992,22.8,-9.9,,,62.6,1.4
Apr 1992,4.3,-18.5,,,67.3,4.7
May 1992,0.0,-4.3,,,69.3,2.0
Jun 1992,0.0,0.0,,,73.3,4.0
Jul 1992,0.0,0.0,,,75.1,1.8
Aug 1992,0.0,0.0,,,76.2,1.1
Sep 1992,0.0,0.0,,,0.0,-76.2
Oct 1992,0.1,0.1,,,4.5,4.5
Nov 1992,7.1,7.0,,,17.5,13.0
Dec 1992,20.6,13.5,,,30.0,12.5
Jan 1993,28.2,7.6,,,39.8,9.8
Feb 1993,26.7,-1.5,,,40.5,0.7
Mar 1993,30.6,3.9,,,48.7,8.2
Apr 1993,22.4,-8.2,,,55.6,6.9
May 1993,0.0,-22.4,,,62.3,6.7
Jun 1993,0.0,0.0,,,67.0,4.7
Jul 1993,0.0,0.0,,,69.1,2.1
Aug 1993,0.0,0.0,,,70.5,1.4
Sep 1993,0.0,0.0,,,0.0,-70.5
Oct 1993,0.0,0.0,,,3.5,3.5
Nov 1993,4.8,4.8,,,11.4,7.9
Dec 1993,13.1,8.3,,,22.2,10.8
Jan 1994,20.2,7.1,,,32.3,10.1
Feb 1994,32.0,11.8,,,45.3,13.0
Mar 1994,39.6,7.6,,,53.2,7.9
Apr 1994,31.8,-7.8,,,56.1,2.9
May 1994,0.0,-31.8,,,58.5,2.4
Jun 1994,0.0,0.0,,,62.4,3.9
Jul 1994,0.0,0.0,,,63.8,1.4
Aug 1994,0.0,0.0,,,64.6,0.8
Sep 1994,0.0,0.0,,,0.0,-64.6
Oct 1994,4.9,4.9,,,17.4,17.4
Nov 1994,18.3,13.4,,,34.9,17.5
Dec 1994,32.5,14.2,,,50.7,15.8
Jan 1995,40.0,7.5,,,61.8,11.1
Feb 1995,41.3,1.3,,,72.6,10.8
Mar 1995,39.5,-1.8,,,79.1,6.5
Apr 1995,35.2,-4.3,,,83.0,3.9
May 1995,0.0,-35.2,,,84.0,1.0
Jun 1995,0.0,0.0,,,86.7,2.7
Jul 1995,0.0,0.0,,,90.7,4.0
Aug 1995,0.0,0.0,,,94.6,3.9
Sep 1995,0.0,0.0,,,0.0,-94.6
Oct 1995,0.0,0.0,,,17.8,17.8
Nov 1995,4.4,4.4,,,54.1,36.3
Dec 1995,13.0,8.6,,,66.1,12.0
Jan 1996,23.1,10.1,,,83.8,17.7
Feb 1996,30.0,6.9,,,98.6,14.8
Mar 1996,31.1,1.1,,,105.9,7.3
Apr 1996,25.4,-5.7,,,113.9,8.0
May 1996,4.7,-20.7,,,119.0,5.1
Jun 1996,0.0,-4.7,,,120.1,1.1
Jul 1996,0.0,0.0,,,121.5,1.4
Aug 1996,0.0,0.0,,,123.9,2.4
Sep 1996,0.0,0.0,,,0.0,-123.9
Oct 1996,4.1,4.1,,,12.9,12.9
Nov 1996,11.2,7.1,,,27.8,14.9
Dec 1996,32.6,21.4,,,48.0,20.2
Jan 1997,47.7,15.1,,,69.7,21.7
Feb 1997,56.0,8.3,,,79.1,9.4
Mar 1997,68.6,12.6,,,107.1,28.0
Apr 1997,65.9,-2.7,,,116.2,9.1
May 1997,34.4,-31.5,,,119.2,3.0
Jun 1997,0.0,-34.4,,,122.8,3.6
Jul 1997,0.0,0.0,,,125.3,2.5
Aug 1997,0.0,0.0,,,125.9,0.6
Sep 1997,0.0,0.0,,,0.0,-125.9
Oct 1997,0.0,0.0,,,18.2,18.2
Nov 1997,5.0,5.0,,,26.1,7.9
Dec 1997,12.2,7.2,,,35.9,9.8
Jan 1998,27.7,15.5,,,52.4,16.5
Feb 1998,33.3,5.6,,,57.9,5.5
Mar 1998,35.7,2.4,,,64.5,6.6
Apr 1998,22.1,-13.6,,,66.0,1.5
May 1998,0.0,-22.1,,,69.7,3.7
Jun 1998,0.0,0.0,,,73.4,3.7
Jul 1998,0.0,0.0,,,73.6,0.2
Aug 1998,0.0,0.0,,,73.6,0.0
Sep 1998,0.0,0.0,,,0.0,-73.6
Oct 1998,0.0,0.0,,,5.8,5.8
Nov 1998,10.3,10.3,,,27.7,21.9
Dec 1998,23.3,13.0,,,49.5,21.8
Jan 1999,35.8,12.5,,,67.1,17.6
Feb 1999,53.9,18.1,,,85.3,18.2
Mar 1999,56.7,2.8,,,93.9,8.6
Apr 1999,52.5,-4.2,,,96.8,2.9
May 1999,31.8,-20.7,,,101.7,4.9
Jun 1999,0.0,-31.8,,,104.9,3.2
Jul 1999,0.0,0.0,,,106.8,1.9
Aug 1999,0.0,0.0,,,108.4,1.6
Sep 1999,0.0,0.0,,,0.0,-108.4
Oct 1999,1.0,1.0,,,9.8,9.8
Nov 1999,4.9,3.9,,,26.3,16.5
Dec 1999,17.5,12.6,,,44.2,17.9
Jan 2000,29.1,11.6,,,57.4,13.2
Feb 2000,35.8,6.7,,,64.3,6.9
Mar 2000,42.6,6.8,,,72.2,7.9
Apr 2000,31.0,-11.6,,,77.2,5.0
May 2000,9.3,-21.7,,,82.4,5.2
Jun 2000,0.0,-9.3,,,85.1,2.7
Jul 2000,0.0,0.0,,,85.7,0.6
Aug 2000,0.0,0.0,,,85.7,0.0
Sep 2000,0.0,0.0,,,0.0,-85.7
Oct 2000,0.0,0.0,,,4.0,4.0
Nov 2000,4.3,4.3,,,9.9,5.9
Dec 2000,10.7,6.4,,,15.1,5.2
Jan 2001,14.1,3.4,,,19.3,4.2
Feb 2001,19.0,4.9,,,24.5,5.2
Mar 2001,23.2,4.2,,,32.8,8.3
Apr 2001,20.3,-2.9,,,38.8,6.0
May 2001,0.0,-20.3,,,42.7,3.9
Jun 2001,0.0,0.0,,,46.3,3.6
Jul 2001,0.0,0.0,,,47.3,1.0
Aug 2001,0.0,0.0,,,48.3,1.0
Sep 2001,0.0,0.0,,,0.0,-48.3
Oct 2001,2.4,2.4,,,14.4,14.4
Nov 2001,4.1,1.7,,,26.2,11.8
Dec 2001,17.6,13.5,,,42.4,16.2
Jan 2002,29.7,12.1,,,61.5,19.1
Feb 2002,36.0,6.3,,,71.5,10.0
Mar 2002,47.2,11.2,,,84.8,13.3
Apr 2002,43.6,-3.6,,,92.7,7.9
May 2002,24.2,-19.4,,,97.1,4.4
Jun 2002,0.0,-24.2,,,100.8,3.7
Jul 2002,0.0,0.0,,,101.8,1.0
Aug 2002,0.0,0.0,,,102.3,0.5
Sep 2002,0.0,0.0,0,,0.0,-102.3
Oct 2002,0.0,0.0,0,0,0.8,0.8
Nov 2002,0.0,0.0,0,0,8.5,7.7
Dec 2002,9.1,9.1,38,38,17.7,9.2
Jan 2003,17.8,8.7,57,19,36.2,18.5
Feb 2003,21.6,3.8,67,10,41.7,5.5
Mar 2003,30.8,9.2,81,14,60.2,18.5
Apr 2003,25.8,-5.0,62,-19,63.8,3.6
May 2003,3.3,-22.5,5,-57,65.6,1.8
Jun 2003,0.0,-3.3,0,-5,66.1,0.5
Jul 2003,0.0,0.0,0,0,66.4,0.3
Aug 2003,0.0,0.0,0,0,66.7,0.3
Sep 2003,0.0,0.0,0,0,0.0,-66.7
Oct 2003,0.0,0.0,,,16.4,16.4
Nov 2003,9.5,9.5,,,35.3,18.9
Dec 2003,17.5,8.0,70,,43.4,8.1
Jan 2004,28.2,10.7,102,32,57.4,14.0
Feb 2004,31.2,3.0,90,-12,61.1,3.7
Mar 2004,32.6,1.4,84,-6,68.8,7.7
Apr 2004,14.5,-18.1,37,-47,70.7,1.9
May 2004,0.0,-14.5,0,-37,75.9,5.2
Jun 2004,0.0,0.0,0,0,78.3,2.4
Jul 2004,0.0,0.0,0,0,78.7,0.4
Aug 2004,0.0,0.0,0,0,84.0,5.3
Sep 2004,0.0,0.0,0,0,0.0,-84.0
Oct 2004,1.9,1.9,18,18,9.2,9.2
Nov 2004,2.0,0.1,11,-7,20.4,11.2
Dec 2004,6.5,4.5,27,16,31.9,11.5
Jan 2005,7.8,1.3,25,-2,43.4,11.5
Feb 2005,10.4,2.6,30,5,46.5,3.1
Mar 2005,12.1,1.7,45,15,53.6,7.1
Apr 2005,2.2,-9.9,7,-38,57.4,3.8
May 2005,0.0,-2.2,0,-7,61.4,4.0
Jun 2005,0.0,0.0,0,0,64.3,2.9
Jul 2005,0.0,0.0,0,0,66.1,1.8
Aug 2005,0.0,0.0,0,0,66.6,0.5
Sep 2005,0.0,0.0,0,0,0.0,-66.6
Oct 2005,0.8,0.8,4,4,6.5,6.5
Nov 2005,8.9,8.1,,,18.2,11.7
Dec 2005,14.1,5.2,58,,29.2,11.0
Jan 2006,34.0,19.9,126,68,48.9,19.7
Feb 2006,42.4,8.4,130,4,58.2,9.3
Mar 2006,45.1,2.7,118,-12,64.6,6.4
Apr 2006,35.5,-9.6,87,-31,68.7,4.1
May 2006,10.3,-25.2,22,-65,71.9,3.2
Jun 2006,0.0,-10.3,0,-22,74.6,2.7
Jul 2006,0.0,0.0,0,0,75.3,0.7
Aug 2006,0.0,0.0,0,0,76.2,0.9
Sep 2006,0.0,0.0,0,0,0.0,-76.2
Oct 2006,0.0,0.0,2,2,3.3,3.3
Nov 2006,10.2,10.2,49,47,34.7,31.4
Dec 2006,21.1,10.9,77,28,46.9,12.2
Jan 2007,31.3,10.2,93,16,58.0,11.1
Feb 2007,36.7,5.4,119,26,66.3,8.3
Mar 2007,37.0,0.3,92,-27,78.7,12.4
Apr 2007,27.4,-9.6,68,-24,83.0,4.3
May 2007,3.0,-24.4,8,-60,85.3,2.3
Jun 2007,0.0,-3.0,0,-8,87.9,2.6
Jul 2007,0.0,0.0,0,0,88.4,0.5
Aug 2007,0.0,0.0,0,0,89.5,1.1
Sep 2007,0.0,0.0,0,0,0.0,-89.5
Oct 2007,0.0,0.0,0,0,9.4,9.4
Nov 2007,3.3,3.3,18,18,17.9,8.5
Dec 2007,18.8,15.5,95,77,39.0,21.1
Jan 2008,31.3,12.5,127,32,53.3,14.3
Feb 2008,38.9,7.6,113,-14,64.0,10.7
Mar 2008,44.7,5.8,131,18,71.3,7.3
Apr 2008,43.1,-1.6,110,-21,75.7,4.4
May 2008,21.3,-21.8,45,-65,78.5,2.8
Jun 2008,0.0,-21.3,0,-45,82.1,3.6
Jul 2008,0.0,0.0,0,0,82.7,0.6
Aug 2008,0.0,0.0,0,0,86.7,4.0
Sep 2008,0.0,0.0,0,0,0.0,-86.7
Oct 2008,0.0,0.0,0,0,6.4,6.4
Nov 2008,1.0,1.0,4,4,22.4,16.0
Dec 2008,12.1,11.1,65,61,35.1,12.7
Jan 2009,21.4,9.3,65,0,55.9,20.8
Feb 2009,22.1,0.7,73,8,59.3,3.4
Mar 2009,34.1,12.0,117,44,72.8,13.5
Apr 2009,29.2,-4.9,81,-36,77.7,4.9
May 2009,9.9,-19.3,21,-60,83.4,5.7
Jun 2009,0.0,-9.9,0,-21,84.5,1.1
Jul 2009,0.0,0.0,0,0,84.7,0.2
Aug 2009,0.0,0.0,0,0,86.0,1.3
Sep 2009,0.0,0.0,0,0,0.0,-86.0
Oct 2009,0.1,0.1,1,1,13.3,13.3
Nov 2009,10.8,10.7,39,38,28.4,15.1
Dec 2009,14.7,3.9,53,14,34.0,5.6
Jan 2010,21.5,6.8,70,17,42.7,8.7
Feb 2010,24.0,2.5,76,6,46.4,3.7
Mar 2010,27.4,3.4,84,8,53.1,6.7
Apr 2010,24.4,-3.0,67,-17,61.5,8.4
May 2010,10.1,-14.3,27,-40,68.6,7.1
Jun 2010,0.0,-10.1,0,-27,73.3,4.7
Jul 2010,0.0,0.0,0,0,73.6,0.3
Aug 2010,0.0,0.0,0,0,75.7,2.1
Sep 2010,0.0,0.0,0,0,0.0,-75.7
Oct 2010,0.0,0.0,0,0,6.3,6.3
Nov 2010,5.1,5.1,30,30,17.7,11.4
Dec 2010,12.9,7.8,50,20,32.3,14.6
Jan 2011,18.2,5.3,54,4,52.7,20.4
Feb 2011,24.9,6.7,102,48,63.2,10.5
Mar 2011,37.0,12.1,112,10,80.9,17.7
Apr 2011,40.8,3.8,113,1,91.4,10.5
May 2011,24.9,-15.9,71,-42,97.6,6.2
Jun 2011,2.7,-22.2,3,-68,100.5,2.9
Jul 2011,0.0,-2.7,0,-3,101.7,1.2
Aug 2011,0.0,0.0,0,0,102.1,0.4
Sep 2011,0.0,0.0,0,0,0.0,-102.1
Oct 2011,0.0,0.0,0,0,11.1,11.1
Nov 2011,10.1,10.1,37,37,23.7,12.6
Dec 2011,15.1,5.0,63,26,33.3,9.6
Jan 2012,28.0,12.9,90,27,51.3,18.0
Feb 2012,38.1,10.1,128,38,64.1,12.8
Mar 2012,48.1,10.0,147,19,77.8,13.7
Apr 2012,40.0,-8.1,103,-44,83.4,5.6
May 2012,21.1,-18.9,49,-54,87.4,4.0
Jun 2012,0.0,-21.1,0,-49,93.2,5.8
Jul 2012,0.0,0.0,0,0,95.6,2.4
Aug 2012,0.0,0.0,0,0,95.8,0.2
Sep 2012,0.0,0.0,0,0,0.0,-95.8
Oct 2012,0.0,0.0,0,0,13.5,13.5
Nov 2012,5.8,5.8,27,27,25.1,11.6
Dec 2012,20.0,14.2,73,46,41.9,16.8
Jan 2013,26.9,6.9,87,14,51.0,9.1
Feb 2013,32.5,5.6,112,25,59.3,8.3
Mar 2013,34.9,2.4,96,-16,69.3,10.0
Apr 2013,30.3,-4.6,84,-12,80.5,11.2
May 2013,11.6,-18.7,23,-61,84.3,3.8
Jun 2013,0.0,-11.6,0,-23,86.5,2.2
Jul 2013,0.0,0.0,0,0,86.7,0.2
Aug 2013,0.0,0.0,0,0,89.7,3.0
Sep 2013,1.2,1.2,5,5,0.0,-89.7
Oct 2013,0.0,-1.2,0,-5,3.3,3.3
Nov 2013,5.6,5.6,17,17,16.6,13.3
Dec 2013,9.3,3.7,32,15,26.2,9.6
Jan 2014,16.5,7.2,64,32,38.5,12.3
Feb 2014,31.7,15.2,121,57,56.2,17.7
Mar 2014,36.1,4.4,113,-8,74.9,18.7
Apr 2014,32.8,-3.3,89,-24,82.1,7.2
May 2014,10.8,-22.0,23,-66,85.2,3.1
Jun 2014,0.0,-10.8,0,-23,87.4,2.2
Jul 2014,0.0,0.0,0,0,89.0,1.6
Aug 2014,0.0,0.0,0,0,92.0,3.0
Sep 2014,0.0,0.0,0,0,0.0,-92.0
Oct 2014,0.0,0.0,0,0,10.5,10.5
Nov 2014,3.8,3.8,14,14,29.4,18.9
Dec 2014,7.2,3.4,33,19,39.4,10.0
Jan 2015,11.3,4.1,41,8,50.9,11.5
