"date","snowmelt"
"199606",6.38333333333333
"199607",0
"199608",0
"199609",0
"199610",0
"199611",0
"199612",0
"199701",0
"199702",0
"199703",0
"199704",3.91666666666667
"199705",27.3666666666667
"199706",22.8833333333333
"199707",0.1
"199708",0
"199709",0
"199710",0
"199711",0
"199712",0
"199801",0
"199802",0
"199803",0
"199804",8.11666666666667
"199805",19.8333333333333
"199806",5.2
"199807",0
"199808",0
"199809",0
"199810",0
"199811",0
"199812",0
"199901",0
"199902",0
"199903",0
"199904",6.03333333333333
"199905",20.3166666666667
"199906",31.3666666666667
"199907",4.33333333333333
"199908",0
"199909",0
"199910",0
"199911",0
"199912",0
"200001",0
"200002",0
"200003",0
"200004",9.4
"200005",19.6333333333333
"200006",9.86666666666667
"200007",0
"200008",0
"200009",0
"200010",0
"200011",0
"200012",0
"200101",0
"200102",0
"200103",0
"200104",1.75
"200105",18.0833333333333
"200106",0
"200107",0
"200108",0
"200109",0
"200110",0
"200111",0
"200112",0
"200201",0
"200202",0
"200203",0
"200204",5.23333333333333
"200205",19.3166666666667
"200206",19.6
"200207",0
"200208",0
"200209",0
"200210",0
"200211",0
"200212",0
"200301",0
"200302",0
"200303",0
"200304",4.03333333333333
"200305",19.0833333333333
"200306",2.63333333333333
"200307",0
"200308",0
"200309",0
"200310",0
"200311",0
"200312",0
"200401",0
"200402",0
"200403",0
"200404",13.9833333333333
"200405",16.5
"200406",0.25
"200407",0
"200408",0
"200409",0
"200410",0
"200411",0
"200412",0
"200501",0
"200502",0
"200503",0
"200504",6.81666666666667
"200505",2.58333333333333
"200506",0
"200507",0
"200508",0
"200509",0
"200510",0
"200511",0
"200512",0
"200601",0
"200602",0
"200603",0
"200604",7.53333333333333
"200605",23.65
"200606",9.65
"200607",0
"200608",0
"200609",0
"200610",0
"200611",0
"200612",0
"200701",0
"200702",0
"200703",0.683333333333333
"200704",6.95
"200705",26.5
"200706",1.88333333333333
"200707",0
"200708",0
"200709",0
"200710",0
"200711",0
"200712",0
"200801",0
"200802",0
"200803",0
"200804",0
"200805",24.55
"200806",20.25
"200807",0.35
"200808",0
"200809",0
"200810",0
"200811",0
"200812",0
"200901",0
"200902",0
"200903",0
"200904",3.18333333333333
"200905",20.0166666666667
"200906",5.98333333333333
"200907",0
"200908",0
"200909",0
"200910",0
"200911",0
"200912",0
"201001",0
"201002",0
"201003",0
"201004",1.2
"201005",13.5166666666667
"201006",11.5166666666667
"201007",0.433333333333333
"201008",0
"201009",0
"201010",0
"201011",0
"201012",0
"201101",0
"201102",0
"201103",0
"201104",0
"201105",15.2833333333333
"201106",21.45
"201107",5.4
"201108",0
"201109",0
"201110",0
"201111",0
"201112",0
"201201",0
"201202",0
"201203",0
"201204",7.01666666666667
"201205",19.8833333333333
"201206",19.3833333333333
"201207",0.783333333333333
"201208",0
"201209",0
"201210",0
"201211",0
"201212",0
"201301",0
"201302",0
"201303",0
"201304",5.03333333333333
"201305",24.25
"201306",4.95
"201307",0
"201308",0
"201309",0
"201310",0.383333333333333
"201311",0
"201312",0
"201401",0
"201402",0
"201403",0
"201404",4.7
"201405",24.3333333333333
"201406",2.46666666666667
"201407",0
"201408",0
"201409",0
"201410",0
"201411",0
"201412",0
"201501",0
"201502",0
"201503",2.325
"201504",3.275
"201505",1.425
"201506",0
"201507",0
"201508",0
"201509",0
"201510",0
"201511",0
"201512",0
"201601",0
"201602",0
"201603",0
"201604",24.5
"201605",31.1
"201606",0
"201607",0
"201608",0
"201609",0
"201610",0
"201611",0
"201612",0
